display  D   display_settings.c:202  debug_display_settings           [   0.18690] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.18695] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.18698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18703] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.18706] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18711] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.18715] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18720] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.18723] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18728] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.18731] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18736] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.18740] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18744] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.18748] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.18752] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.18756] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18761] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18773] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18780] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18783] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18788] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18791] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18796] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18799] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18805] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18814] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18817] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18822] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18825] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18829] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18833] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.18837] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18840] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18845] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18848] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18852] Single Buffer requirement not met.
